,word,positive,negative
881,upset,1,1
882,africa,1,1
883,eased,0,1
884,bad,0,1
885,grow,0,1
886,chief,0,1
887,shit,0,1
888,cheat,0,1
889,weight,0,1
890,through,0,1
891,wary,0,1
892,=,0,1
893,fed,0,1
894,@hvbibvh:,0,1
895,republicans,0,1
896,beyond,0,1
897,1/2/tps,0,1
898,somebody,0,1
899,@kimstrassel:,0,1
900,genuinely,0,1
901,prosecutor,0,1
902,bengali,0,1
903,@robbieuthappa,0,1
904,noises,0,1
905,two,2,1
906,suite,0,1
907,grouo,0,1
908,chemotherapy,0,1
909,fan,0,1
910,feedback,0,1
911,last,0,1
912,shut,0,1
913,littlest,0,1
914,sympathized,0,1
915,tranquili,0,1
916,book,0,1
917,traffic,0,1
918,@pinkyblueskys,0,1
919,uncomfortable,0,1
920,attention,1,1
921,nihilism/fake,0,1
922,slarpg,0,1
923,wouldnt,0,1
924,feeling:,0,1
925,away,0,1
926,|,1,1
927,quran,0,1
928,reports,0,1
929,perfect,0,1
930,@__xhoseok,0,1
931,instinctual,0,1
932,mouth,0,1
933,eat,0,1
934,shocked,0,1
935,arent,0,1
936,@itsalwayswednes,0,1
937,arts,0,1
938,modernity,0,1
939,forgive,1,1
940,line,1,1
941,off-putting,0,1
942,case,0,1
943,lefty,0,1
944,females,0,1
945,cries,0,1
946,reverse,0,1
947,mueller's,0,0
948,@lynny50,0,1
949,live,3,1
950,captivate,0,1
951,types,0,1
952,instead,0,1
953,clean,0,1
954,field,1,1
955,@caliscrip:,0,1
956,furthermore,0,1
957,half,0,1
958,sleepy,0,1
959,whats,0,1
960,alleging,0,1
961,buy,0,1
962,lead,0,1
963,@samwootton02,0,1
964,alike,0,1
965,community,1,1
966,act,0,1
967,reasonable,0,1
968,trumbullct,0,1
969,meritocracy,0,1
970,elle,0,1
971,treated,0,1
972,-why,0,1
973,referendum,0,1
974,modern,0,1
975,nope,0,1
976,answer,1,1
977,competing,0,1
978,spending,0,1
979,air,0,1
980,adding,0,1
981,keeping,0,1
982,never,1,1
983,longer,0,1
984,helped,0,1
985,entire,0,1
986,birthday,13,0
987,jungkook,1,0
988,girls,3,0
989,phrase,2,0
990,omg,3,0
991,dissing,3,0
992,difference,3,0
993,truly,4,0
994,disgusting,3,0
995,@mmooregough_7:,3,0
996,',0,0
997,co/9vrd1dw,3,0
998,bo,3,0
999,cat,3,0
1000,@chavisthill:,3,0
1001,body,3,0
1002,pardon,3,0
1003,extremely,3,0
1004,eyes,3,0
1005,actor,3,0
1006,doing,4,0
1007,@zak_bagans,2,0
1008,tryouts,1,0
1009,few,2,0
1010,cherry,1,0
1011,surgery,2,0
1012,brother,1,0
1013,art,3,0
1014,ask,3,0
1015,hilarious,2,0
1016,sheer,1,0
1017,cities,1,0
1018,fantastical,1,0
1019,internationalcarrotday,1,0
1020,foodies,1,0
1021,spinal,1,0
1022,co/ysraxnpauh,2,0
1023,@aybaybader,1,0
1024,@hermosahanna,1,0
1025,@enjoynature:,1,0
1026,nature,2,0
1027,@vickibangle,1,0
1028,creations,1,0
1029,spouse,1,0
1030,better,1,0
1031,congress,1,0
1032,wooooo,1,0
1033,youmu,1,0
1034,co/err7zveqo7,1,0
1035,@sergeveilleux5,1,0
1036,@stradagangelica,1,0
1037,fuvb,1,0
1038,fall,1,0
1039,co/gos4aigwj0,1,0
1040,ene,1,0
1041,successful,1,0
1042,guineapigs,1,0
1043,@teamquetta:,1,0
1044,@kimmeye1:,1,0
1045,@doggintrump:,1,0
1046,strange,1,0
1047,campsbourne,1,0
1048,@laurenjauregui:,1,0
1049,paying,1,0
1050,gotta,1,0
1051,congratulations,1,0
1052,brie,1,0
1053,specific,1,0
1054,@majornelson,1,0
1055,kiss,1,0
1056,market,1,0
1057,co/aberq7n82c,1,0
1058,queen,1,0
1059,fun,43,0
1060,awol,1,0
1061,@nhlbruins,1,0
1062,bpm:180,1,0
1063,co/bd4ch9a5jm,1,0
1064,co/50ghxbet2o,1,0
1065,@dricciardo,1,0
1066,co/o30kh89oyz,1,0
1067,-yeeun,1,0
1068,co/ba7nt,1,0
1069,carrot,1,0
1070,freecodefriday,1,0
1071,memes,1,0
1072,ending,1,0
1073,gam,1,0
1074,@jetreset:,1,0
1075,banning,1,0
1076,@tdgarden,1,0
1077,cookie,1,0
1078,ha,1,0
1079,flowers,1,0
1080,mixtape,1,0
1081,joke,1,0
1082,early,1,0
1083,staffer,1,0
1084,rested,1,0
1085,soundcheck,2,0
1086,legendary,1,0
1087,hike,1,0
1088,@michaelbangles,1,0
1089,words,1,0
1090,hahah,1,0
1091,@juliancamarena:,1,0
1092,mix,1,0
1093,following,1,0
1094,hereby,1,0
1095,co/mtatdn60p2,1,0
1096,co/rqii68iomv,1,0
1097,national,1,0
1098,fueled,1,0
1099,ghost,1,0
1100,@therealjonny_5,1,0
1101,bed,1,0
1102,co/jq501xfjnn,1,0
1103,maintaining,1,0
1104,th,1,0
1105,@ethansvg,1,0
1106,@toeianimation:,1,0
1107,gorams,1,0
1108,changed,1,0
1109,yuyuko,1,0
1110,girl,1,0
1111,adorable,1,0
1112,hi,1,0
1113,@cardinals:,1,0
1114,suffer,1,0
1115,mood,1,0
1116,swimming,1,0
1117,job,2,0
1118,@ohmyguinea:,1,0
1119,wait,2,0
1120,chois,1,0
1121,annoyed,1,0
1122,freaking,2,0
1123,pets,1,0
1124,predictive,2,0
1125,requirements,1,0
1126,kee,1,0
1127,co/8cssohiewd,1,0
1128,version:gf1,1,0
1129,@christo40822057,1,0
1130,@oknox,1,0
1131,moon,1,0
1132,charlotte,1,0
1133,free,4,0
1134,@t1mbles:,1,0
1135,appreciate,1,0
1136,ikea,1,0
1137,prop,1,0
1138,ahead,1,0
1139,jelly,1,0
1140,beautiful,2,0
1141,prince,1,0
1142,@petty_lex:,1,0
1143,skylines,1,0
1144,manage,1,0
1145,mohammad,1,0
1146,@lavendertones,1,0
1147,vacations,1,0
1148,ht,1,0
1149,rel,1,0
1150,millions,1,0
