,word,frequency
1190,sponsored,1
1191,japan,1
1192,quicker,1
1193,@yelarvel,1
1194,loves,1
1195,geauxcolonels,1
1196,plans,1
1197,@lidstonepeter,1
1198,@quinnqueens,1
1199,best,1
1200,wishing,1
1201,said,1
1202,gorgeous,1
1203,faceofpace,1
1204,grateful,1
1205,deserve,1
1206,summer,1
1207,stadium,1
1208,hydrated,1
1209,excited,1
1210,text,1
1211,stable,1
1212,@ginamorris508,1
1213,taxes,1
1214,@quinnqueens_2,1
1215,akira,1
1216,not-a-teen,1
1217,@whca,1
1218,zak,1
1219,@_hublette:,1
1220,@thd_young,1
1221,any,1
1222,bell,1
1223,fuckthem,1
1224,travel,1
1225,honey,1
1226,trees,1
1227,pass,1
1228,@samanthaasm2307,1
1229,couldnt,1
1230,@kreespykim,1
1231,guys,1
1232,stuck,1
1233,goes,1
1234,@hwaseongl:,1
1235,@msgladysknight:,1
1236,co/6im3o9zp02,1
1237,@stevebanglesfan,1
1238,@eemrichmond,1
1239,picked,1
1240,vocal,1
1241,@oliviaandocean,1
1242,@allypallyfm:,1
1243,bean,1
1244,hahahhaa,1
1245,@susannahoffs,1
1246,co/kwmgp4qfbw,1
1247,dumb,1
1248,crackdown,1
1249,furniture,1
1250,daughter,1
1251,fucking,1
1252,@mjawandz11,1
1253,vibe,1
1254,ian,1
1255,toriyama,1
1256,@thshaher,1
1257,miss,1
1258,@xboxgamepass,1
1259,@dr_ringer,1
1260,@ericjosephgree2,1
1261,flair,1
1262,@aliciagarciaga6,1
1263,intro,1
1264,bit,1
1265,sweldo,1
1266,lil,1
1267,experienced,1
1268,ghosts,1
1269,bliss,1
1270,cooky,1
1271,outdoor,1
1272,reminder,1
1273,felinechairthieffriyay,1
1274,collective,1
1275,literally,1
1276,moonboss,1
1277,todays,1
1278,hasnain,1
1279,@freewill121,1
1280,work,4
1281,thanks,4
1282,thank,3
1283,might,3
1284,until,3
1285,baseball,3
1286,our,3
1287,keep,3
1288,good,3
1289,class,3
1290,games,2
1291,@_violin_tim:,2
1292,:(((,2
1293,kim,2
1294,yunmin,2
1295,@brunomars,2
1296,view,2
1297,please,2
1298,everyone,2
1299,@violin_tim,2
1300,avoid,2
1301,check,2
1302,second,2
1303,saturday,2
1304,draw,2
1305,making,2
1306,dress,2
1307,link,2
1308,cool,2
1309,insta,2
1310,year,2
1311,h,2
1312,@iamcardib,2
1313,cant,2
1314,join,2
1315,delicious,2
1316,bullshit,1
1317,mv,1
1318,photography,1
1319,along,1
1320,awesome,1
1321,key,1
1322,@fayobserver,1
1323,detail,1
1324,smash,1
1325,citylnkd,1
1326,music,1
1327,@madam_president:,1
1328,hav,1
1329,lots,1
1330,mangoes,1
1331,west,1
1332,fayettevillenc,1
1333,came,1
1334,workers,1
1335,markers,1
1336,soooooo,1
1337,co/bkwshkscue,1
1338,pbl,1
1339,ah,1
1340,recording,1
1341,stressful,1
1342,co/sptlbylhvr,1
1343,mystery,1
1344,05,1
1345,7,1
1346,seems,1
1347,tt,1
1348,@arlir,1
1349,football,1
1350,freshfriday,1
1351,parton,1
1352,@pugnoodless:,1
1353,ye,1
1354,co/o3xxucvqi9,1
1355,serve,1
1356,life),1
1357,wore,1
1358,staff,1
1359,],1
1360,co/inskloxlpa,1
1361,co/hghwftze92,1
1362,co/xvmsap3fwz,1
1363,blobby,1
1364,animal,1
1365,co/hrvmzs5l7j,1
1366,co/ccwugdgtc2,1
1367,co/hlopbafaxj,1
1368,selection,1
1369,cover,1
1370,@writerscentreau:,1
1371,trekkies,1
1372,skye,1
1373,similar,1
1374,trailblazeon,1
1375,busking,1
1376,dream,1
1377,premium,1
1378,passing,1
1379,wear,1
1380,drives,1
1381,launch,1
1382,summary,1
1383,@gamblerthoughts,1
1384,organizing,1
1385,located,1
1386,duval,1
1387,@commsexpress:,1
1388,marathons,1
1389,floribbean,1
1390,participating,1
1391,born2travelit,1
1392,taking,1
1393,mlb,1
1394,pollution,1
1395,laugh,1
1396,color,1
1397,issue,1
1398,co/bf2pjkgq53,1
1399,peter,1
1400,world,1
1401,looked,1
1402,vincenzo,1
1403,friends,1
1404,lighter,1
1405,fun],1
1406,aiming,1
1407,proudly,1
1408,where,1
1409,furiousfiction,1
1410,@duderd_x:,1
1411,every_min_it,1
1412,@starpopfever,1
1413,album,1
1414,shift,1
1415,students,1
1416,cheap,1
1417,milb,1
1418,rhodes,1
1419,engaging,1
1420,laggy,1
1421,original,1
1422,biggest,1
1423,environmental,1
1424,post,1
1425,netflix,1
1426,@morjoysol2615,1
1427,foods,1
1428,reach,1
1429,ready,1
1430,found,1
1431,@amyklobuch,1
1432,ko-fi,1
1433,date,1
1434,stuff,1
1435,honestly,1
1436,co/gjlnwdfjpc,1
1437,netflixandchill,1
1438,foam,1
1439,@sengillbrand,1
1440,citizenship,1
1441,coupon,1
1442,co/fmaxu7q12d,1
1443,connections,1
1444,attaching,1
1445,times,1
1446,ad,1
1447,5pm,1
1448,endangered,1
1449,planet,1
1450,700,1
1451,draft,1
1452,calories,1
1453,earth_beatiful,1
1454,share,1
1455,responsabilities,1
1456,below,1
1457,exciting,1
1458,stops,1
1459,dark,1
1460,@ewarren,1
1461,@ananavarro:,1
1462,proper,1
1463,safran,1
1464,phoenix,1
1465,isn't,1
1466,though,1
1467,@ponysmasher,1
1468,co,1
1469,lovee,1
1470,competition,1
1471,gonna,1
1472,y,1
1473,co/6i0bzjjwml,1
1474,enter,1
1475,@kamuicosplay:,1
1476,species,1
1477,@diversity_tweet,1
1478,there's,1
1479,lie,1
1480,lightenuptw,1
1481,sea,1
1482,beloved,1
1483,pokemon,1
1484,[,1
1485,@thechrisdo:,1
1486,recently,1
1487,auctions,1
1488,2djsjjsfjjwhfsdgds,1
1489,exercise,1
1490,omfg,1
1491,co/eewtonfwvo,1
1492,@myfaytoday,1
1493,move,1
1494,damn,1
1495,evening's,1
1496,myself,1
1497,@icklenell,1
1498,@bdlabaj:,1
1499,@n,1
1500,heaven,1
1501,run,1
1502,retweet,1
1503,online,1
1504,ca,1
1505,@berbalee:,1
1506,marra,1
1507,grade,1
1508,contac,1
1509,preview,1
1510,co/ycdf8c33gm,1
1511,50,1
1512,@tehfawpy,1
1513,kakapo,1
1514,codes,1
1515,mall,1
1516,dura,1
1517,fairly,1
1518,co/gcrah5s6vm,1
1519,@al_i_exandra:,1
1520,challenged,1
1521,dolly,1
1522,grid,1
1523,plus,1
1524,tip,1
1525,@faync_chamber,1
1526,same,1
1527,co/cjhfrbk9i0,1
1528,exhausting,1
1529,negativity,1
1530,sport,1
1531,party,1
1532,intersection,1
1533,street,1
1534,characteristics,1
1535,work-in-progress,1
1536,co/laxunxansc,1
1537,co/pimt08w9,1
1538,walking,1
1539,track,1
1540,prehistoric,1
1541,account,1
1542,&gt,1
1543,triathlon,1
1544,co/poiegqaarc,1
1545,southafrica,1
1546,taylor,1
1547,joining,1
1548,didnt,1
1549,loads,1
1550,able,1
1551,holiday,1
1552,mug,1
1553,goals,1
1554,forward,1
1555,kitschy,1
1556,addicted,1
1557,trampolining,1
1558,@ashleybanjo,1
1559,ver,1
1560,enjoys,1
1561,que,1
1562,duo's,1
1563,freshfriday2k19,1
1564,including,1
1565,css,1
1566,super,1
1567,@hanbinscockring,1
1568,app,1
1569,oxventure,1
1570,memory,1
1571,couple,1
1572,earth,1
1573,co/bzi7hdq83z,1
1574,plastic,1
1575,careful,1
1576,supporting,1
1577,fast,1
1578,once,1
1579,which,1
1580,watch,1
1581,pan'',1
1582,tournament,1
1583,pretty,1
1584,drops,1
1585,pizza,1
1586,co/ae4enfg5yx,1
1587,@kasopeowoaje:,1
1588,bunny,1
1589,based,1
1590,blackout,1
1591,forest,1
1592,signed,1
1593,kind,1
1594,sassy,1
1595,side,1
1596,park,1
1597,hated,1
1598,gallery,1
1599,youve,1
1600,daughters,1
1601,@lightenuptw,1
1602,dinner,1
1603,gets,1
1604,bost,1
1605,@honeybbangtan,1
1606,beauty,1
1607,enjoy,1
1608,kindly,1
1609,(like,1
1610,armor,1
1611,math,1
1612,@omz_music,1
1613,johannesburg,1
1614,losing,1
1615,cr,1
1616,panel,1
1617,newkidd,1
1618,brightness,1
1619,@jae_day6:,1
1620,prom,1
1621,suggestions,1
1622,cracker,1
1623,project,1
1624,poking,1
1625,intense,1
1626,0,1
1627,[yesterday,1
1628,@benwallfisch:,1
1629,co/rr5sfcphmx,1
1630,coming,1
1631,local,1
1632,@realdonaldtrump,1
1633,@linnzzz____:,1
1634,thought,1
1635,@sunnyvalees,1
1636,food,1
1637,rub,1
1638,glowy,1
1639,@tannerfox,1
1640,@cityoffaync,1
1641,win,1
1642,shazam,1
